NAME,B19013_001E,B19301_001E,B17001_002E,state,county
"Autauga County, Alabama",68315,35332,6630,01,001
"Baldwin County, Alabama",71039,38907,23445,01,003
"Barbour County, Alabama",39712,23378,5280,01,005
"Bibb County, Alabama",50669,24966,4297,01,007
"Blount County, Alabama",57440,29053,8277,01,009
"Bullock County, Alabama",36136,22115,2687,01,011
"Butler County, Alabama",44429,26334,3937,01,013
"Calhoun County, Alabama",54339,28227,20267,01,015
"Chambers County, Alabama",48805,27006,6080,01,017
"Cherokee County, Alabama",46621,28422,3516,01,019
"Chilton County, Alabama",62471,28497,6422,01,021
"Choctaw County, Alabama",43299,26343,2388,01,023
"Clarke County, Alabama",47549,29310,5073,01,025
"Clay County, Alabama",48074,27991,2440,01,027
"Cleburne County, Alabama",51553,28598,1931,01,029
"Coffee County, Alabama",62199,31227,8592,01,031
"Colbert County, Alabama",56149,30724,8998,01,033
"Conecuh County, Alabama",39888,24426,2122,01,035
"Coosa County, Alabama",52279,28998,1102,01,037
"Covington County, Alabama",48772,28528,6921,01,039
"Crenshaw County, Alabama",48557,32396,1916,01,041
"Cullman County, Alabama",58119,29788,11364,01,043
"Dale County, Alabama",52813,28312,8469,01,045
"Dallas County, Alabama",37180,22798,10230,01,047
"DeKalb County, Alabama",47920,24915,14251,01,049
"Elmore County, Alabama",73258,34152,7986,01,051
"Escambia County, Alabama",41153,21758,7449,01,053
"Etowah County, Alabama",52177,28479,16146,01,055
"Fayette County, Alabama",45650,27053,3543,01,057
"Franklin County, Alabama",47359,24874,5246,01,059
"Geneva County, Alabama",47608,25644,5480,01,061
"Greene County, Alabama",32796,20862,2504,01,063
"Hale County, Alabama",35851,23690,3613,01,065
"Henry County, Alabama",58395,30273,2608,01,067
"Houston County, Alabama",55064,32126,18878,01,069
"Jackson County, Alabama",46748,27695,9680,01,071
"Jefferson County, Alabama",63595,38224,103894,01,073
"Lamar County, Alabama",49565,24794,2107,01,075
"Lauderdale County, Alabama",56081,32678,12188,01,077
"Lawrence County, Alabama",54786,29486,5182,01,079
"Lee County, Alabama",59288,33083,31003,01,081
"Limestone County, Alabama",80146,37504,11287,01,083
"Lowndes County, Alabama",33125,23415,2552,01,085
"Macon County, Alabama",41206,22449,4127,01,087
"Madison County, Alabama",78058,44720,40440,01,089
"Marengo County, Alabama",42975,27210,4063,01,091
"Marion County, Alabama",49743,25205,4707,01,093
"Marshall County, Alabama",58272,29509,15992,01,095
"Mobile County, Alabama",55352,30482,71353,01,097
"Monroe County, Alabama",39965,23090,4472,01,099
"Montgomery County, Alabama",56707,32769,42877,01,101
"Morgan County, Alabama",61588,33223,16579,01,103
"Perry County, Alabama",32332,16581,2478,01,105
"Pickens County, Alabama",45339,26912,3864,01,107
"Pike County, Alabama",42616,26685,7242,01,109
"Randolph County, Alabama",49879,27558,4277,01,111
"Russell County, Alabama",47420,25855,12816,01,113
"St. Clair County, Alabama",73218,33571,9786,01,115
"Shelby County, Alabama",90618,45701,15080,01,117
"Sumter County, Alabama",31726,19720,3285,01,119
"Talladega County, Alabama",52457,29236,14436,01,121
"Tallapoosa County, Alabama",53282,29682,6826,01,123
"Tuscaloosa County, Alabama",61645,32141,36412,01,125
"Walker County, Alabama",52987,28204,10437,01,127
"Washington County, Alabama",51184,29210,2415,01,129
"Wilcox County, Alabama",38208,20442,2735,01,131
"Winston County, Alabama",49494,26933,4217,01,133
"Aleutians East Borough, Alaska",79961,42165,429,02,013
"Aleutians West Census Area, Alaska",100662,47339,478,02,016
"Anchorage Municipality, Alaska",95731,46554,27415,02,020
"Bethel Census Area, Alaska",64094,25859,4586,02,050
"Bristol Bay Borough, Alaska",94167,45499,66,02,060
"Chugach Census Area, Alaska",83068,44700,339,02,063
"Copper River Census Area, Alaska",70606,37887,289,02,066
"Denali Borough, Alaska",87292,73692,150,02,068
"Dillingham Census Area, Alaska",69412,31948,765,02,070
"Fairbanks North Star Borough, Alaska",81655,42744,6356,02,090
"Haines Borough, Alaska",68276,33585,121,02,100
"Hoonah-Angoon Census Area, Alaska",62344,39257,269,02,105
"Juneau City and Borough, Alaska",95711,49207,2176,02,110
"Kenai Peninsula Borough, Alaska",76272,40720,7265,02,122
"Ketchikan Gateway Borough, Alaska",82763,44368,1329,02,130
"Kodiak Island Borough, Alaska",91138,39563,1027,02,150
"Kusilvak Census Area, Alaska",42663,17166,2836,02,158
"Lake and Peninsula Borough, Alaska",61607,39409,151,02,164
"Matanuska-Susitna Borough, Alaska",86435,39201,10810,02,170
"Nome Census Area, Alaska",70121,28678,2041,02,180
"North Slope Borough, Alaska",83472,61841,857,02,185
"Northwest Arctic Borough, Alaska",77647,32133,1405,02,188
"Petersburg Borough, Alaska",77826,37856,153,02,195
"Prince of Wales-Hyder Census Area, Alaska",61779,34433,879,02,198
"Sitka City and Borough, Alaska",95261,43964,571,02,220
"Skagway Municipality, Alaska",79583,46771,81,02,230
"Southeast Fairbanks Census Area, Alaska",75378,33809,898,02,240
"Wrangell City and Borough, Alaska",61000,35421,213,02,275
"Yakutat City and Borough, Alaska",76875,45578,56,02,282
"Yukon-Koyukuk Census Area, Alaska",47826,29382,1216,02,290
"Apache County, Arizona",37483,18930,21058,04,001
"Cochise County, Arizona",58421,31423,17553,04,003
"Coconino County, Arizona",67266,32592,22531,04,005
"Gila County, Arizona",55242,29945,9910,04,007
"Graham County, Arizona",64089,24052,6230,04,009
"Greenlee County, Arizona",73756,29394,1208,04,011
"La Paz County, Arizona",46634,30399,3435,04,012
"Maricopa County, Arizona",80675,41533,503565,04,013
"Mohave County, Arizona",53592,32835,33597,04,015
"Navajo County, Arizona",50335,22826,26591,04,017
"Pima County, Arizona",64323,36494,151733,04,019
"Pinal County, Arizona",73313,33158,46424,04,021
"Santa Cruz County, Arizona",51885,25619,9622,04,023
"Yavapai County, Arizona",62430,37666,28765,04,025
"Yuma County, Arizona",56439,27516,34654,04,027
"Arkansas County, Arkansas",58695,28759,2816,05,001
"Ashley County, Arkansas",44804,25568,4390,05,003
"Baxter County, Arkansas",47403,30264,5587,05,005
"Benton County, Arkansas",85269,43359,22289,05,007
"Boone County, Arkansas",52275,28886,4869,05,009
"Bradley County, Arkansas",43688,23830,1570,05,011
"Calhoun County, Arkansas",60237,24047,574,05,013
"Carroll County, Arkansas",56826,29123,4329,05,015
"Chicot County, Arkansas",36593,24156,2618,05,017
"Clark County, Arkansas",48071,24532,3812,05,019
"Clay County, Arkansas",44685,26554,2789,05,021
"Cleburne County, Arkansas",52780,31041,3469,05,023
"Cleveland County, Arkansas",48913,26479,1013,05,025
"Columbia County, Arkansas",47441,27243,4675,05,027
"Conway County, Arkansas",50282,28694,4313,05,029
"Craighead County, Arkansas",55169,31298,20511,05,031
"Crawford County, Arkansas",56702,28920,10620,05,033
"Crittenden County, Arkansas",51860,27834,9305,05,035
"Cross County, Arkansas",48129,27776,3357,05,037
"Dallas County, Arkansas",40085,26378,723,05,039
"Desha County, Arkansas",38067,21588,3044,05,041
"Drew County, Arkansas",44968,27349,3513,05,043
"Faulkner County, Arkansas",61273,31301,18478,05,045
"Franklin County, Arkansas",47695,25517,3412,05,047
"Fulton County, Arkansas",38917,22895,1841,05,049
"Garland County, Arkansas",54229,31854,16604,05,051
"Grant County, Arkansas",68598,35170,2413,05,053
"Greene County, Arkansas",54879,26941,7892,05,055
"Hempstead County, Arkansas",45049,25577,4536,05,057
"Hot Spring County, Arkansas",50260,25486,6093,05,059
"Howard County, Arkansas",44824,25458,2301,05,061
"Independence County, Arkansas",52361,27867,7124,05,063
"Izard County, Arkansas",46159,25331,2503,05,065
"Jackson County, Arkansas",41929,23048,2957,05,067
"Jefferson County, Arkansas",46855,24571,11818,05,069
"Johnson County, Arkansas",42470,22457,5327,05,071
"Lafayette County, Arkansas",40262,23699,1328,05,073
"Lawrence County, Arkansas",43606,25301,2791,05,075
"Lee County, Arkansas",33801,20338,1964,05,077
"Lincoln County, Arkansas",50526,18191,1481,05,079
"Little River County, Arkansas",58627,28764,1394,05,081
"Logan County, Arkansas",51131,28495,3036,05,083
"Lonoke County, Arkansas",68078,32720,8680,05,085
"Madison County, Arkansas",51514,27709,2731,05,087
"Marion County, Arkansas",42891,25315,2970,05,089
"Miller County, Arkansas",47613,26572,8496,05,091
"Mississippi County, Arkansas",50012,27863,8599,05,093
"Monroe County, Arkansas",41786,24117,1592,05,095
"Montgomery County, Arkansas",47103,26815,1527,05,097
"Nevada County, Arkansas",43421,22041,2248,05,099
"Newton County, Arkansas",50699,26544,814,05,101
"Ouachita County, Arkansas",47348,25289,4230,05,103
"Perry County, Arkansas",53980,26967,1526,05,105
"Phillips County, Arkansas",37458,22644,4946,05,107
"Pike County, Arkansas",49248,28392,1745,05,109
"Poinsett County, Arkansas",43440,24807,4716,05,111
"Polk County, Arkansas",48449,30395,3393,05,113
"Pope County, Arkansas",51678,28018,10728,05,115
"Prairie County, Arkansas",47045,29018,797,05,117
"Pulaski County, Arkansas",58326,39146,64768,05,119
"Randolph County, Arkansas",45993,25528,3519,05,121
"St. Francis County, Arkansas",39822,20991,5659,05,123
"Saline County, Arkansas",73236,36151,11688,05,125
"Scott County, Arkansas",45340,23086,1677,05,127
"Searcy County, Arkansas",42063,22384,2054,05,129
"Sebastian County, Arkansas",54047,32577,20818,05,131
"Sevier County, Arkansas",53567,26369,3144,05,133
"Sharp County, Arkansas",43332,25283,2725,05,135
"Stone County, Arkansas",37664,21640,2603,05,137
"Union County, Arkansas",49745,29252,7135,05,139
"Van Buren County, Arkansas",45768,26183,2971,05,141
"Washington County, Arkansas",61985,34531,36258,05,143
"White County, Arkansas",51144,27364,11867,05,145
"Woodruff County, Arkansas",49608,29216,1146,05,147
"Yell County, Arkansas",55879,26044,2480,05,149
"Alameda County, California",122488,60193,149843,06,001
"Alpine County, California",101125,55425,208,06,003
"Amador County, California",74853,40379,2945,06,005
"Butte County, California",66085,36374,38015,06,007
"Calaveras County, California",77526,37935,5915,06,009
"Colusa County, California",69619,31915,2364,06,011
"Contra Costa County, California",120020,59083,95255,06,013
"Del Norte County, California",61149,28396,3585,06,015
"El Dorado County, California",99246,55455,16364,06,017
"Fresno County, California",67756,30130,193675,06,019
"Glenn County, California",64033,28106,4335,06,021
"Humboldt County, California",57881,33988,26394,06,023
"Imperial County, California",53847,21216,36092,06,025
"Inyo County, California",63417,36673,2199,06,027
"Kern County, California",63883,27976,170013,06,029
"Kings County, California",68540,26193,22634,06,031
"Lake County, California",56259,34020,11065,06,033
"Lassen County, California",59515,23646,3645,06,035
"Los Angeles County, California",83411,41847,1343978,06,037
"Madera County, California",73543,28158,30154,06,039
"Marin County, California",142019,87300,17809,06,041
"Mariposa County, California",60021,36106,2712,06,043
"Mendocino County, California",61335,34977,14483,06,045
"Merced County, California",64772,26869,51272,06,047
"Modoc County, California",54962,28860,1430,06,049
"Mono County, California",82038,43315,1478,06,051
"Monterey County, California",91043,37741,51913,06,053
"Napa County, California",105809,54306,10620,06,055
"Nevada County, California",79395,46706,10505,06,057
"Orange County, California",109361,50683,303810,06,059
"Placer County, California",109375,54004,27446,06,061
"Plumas County, California",67885,41701,2101,06,063
"Riverside County, California",84505,35356,272432,06,065
"Sacramento County, California",84010,39763,204388,06,067
"San Benito County, California",104451,40799,4832,06,069
"San Bernardino County, California",77423,31348,294246,06,071
"San Diego County, California",96974,46957,338752,06,073
"San Francisco County, California",136689,86186,87849,06,075
"San Joaquin County, California",82837,33870,98352,06,077
"San Luis Obispo County, California",90158,47390,33728,06,079
"San Mateo County, California",149907,77741,48137,06,081
"Santa Barbara County, California",92332,44635,57513,06,083
"Santa Clara County, California",153792,73017,129834,06,085
"Santa Cruz County, California",104409,52887,29302,06,087
"Shasta County, California",68347,36458,23753,06,089
"Sierra County, California",61108,37692,359,06,091
